neo,diameter,eccentricity,semiMajorAxis,perihelionDistance,inclination,period
N,4.04,0.0944,3.222,2.918,21.34,2110
N,1.61,0.1823,2.252,1.841,4.27,1230
N,4.192,0.0257,3.161,3.08,9.44,2050
N,1.948,0.1804,2.381,1.951,5.04,1340
N,3.182,0.0781,2.991,2.757,25.38,1890
N,3.395,0.067,2.782,2.596,13.72,1690
N,2.742,0.0519,3.15,2.987,21.53,2040
N,2.78,0.1219,2.612,2.294,8.3,1540
N,2.97,0.0528,3.121,2.956,18.18,2010
N,3.358,0.1585,3.201,2.694,28.73,2090
N,2.447,0.1299,2.263,1.969,25.66,1240
N,1.576,0.0503,2.258,2.144,2.43,1240
N,3.886,0.0753,3.174,2.935,24.85,2070
N,1.51,0.1146,2.368,2.097,7.43,1330
N,1.417,0.1638,2.358,1.972,1.93,1320
N,5.228,0.1685,3.124,2.598,29.45,2020
N,2.226,0.1626,2.269,1.9,6.89,1250
N,2.071,0.1647,2.243,1.874,7.93,1230
N,3.568,0.0668,3.219,3.004,15.67,2110
N,3.151,0.0979,3.118,2.813,13.8,2010
N,1.786,0.1659,2.585,2.156,8.61,1520
N,2.541,0.1026,2.629,2.359,11.42,1560
N,1.971,0.1037,2.912,2.61,10,1810
N,3.678,0.13,2.558,2.226,13.1,1490
N,1.843,0.1661,2.331,1.944,4.8,1300
N,2.13,0.1219,3.212,2.82,17.6,2100
N,1.102,0.1529,2.314,1.96,5.74,1290
N,1.829,0.2304,2.327,1.791,24.73,1300
N,4.749,0.1428,3.205,2.747,28.45,2100
N,2.978,0.0418,3.184,3.051,6.87,2080
N,2.76,0.0929,2.666,2.418,8.45,1590
N,4.451,0.1006,3.166,2.848,29.45,2060
N,3.116,0.0846,2.757,2.524,5.61,1670
N,4.688,0.0782,3.089,2.848,19.19,1980
N,3.215,0.0725,3.137,2.91,10.15,2030
N,4.336,0.0332,3.243,3.135,21.99,2130
N,3.748,0.1098,3.224,2.87,22.21,2110
N,2.403,0.0583,2.709,2.551,6.71,1630
N,2.916,0.0273,2.48,2.413,16.15,1430
N,2.113,0.1131,2.356,2.09,3.76,1320
N,1.274,0.2015,2.332,1.862,5.56,1300
N,2.391,0.0179,3.141,3.085,27.1,2030
N,3.402,0.0811,2.999,2.756,15.93,1900
N,1.527,0.1674,2.293,1.909,5.26,1270
N,1.671,0.1817,2.435,1.992,6.02,1390
N,4.813,0.2049,3.953,3.143,3.82,2870
N,1.733,0.2099,2.385,1.884,6.11,1350
N,3.253,0.047,3.067,2.923,16.79,1960
N,3.487,0.2064,3.2,2.539,17.69,2090
N,1.759,0.115,2.336,2.068,4.07,1300
N,4.564,0.06,3.034,2.852,9.67,1930
N,3.085,0.0877,2.69,2.454,10.56,1610
N,2.897,0.0977,3.084,2.782,27.38,1980
N,2.84,0.0876,2.97,2.71,8.82,1870
N,3.771,0.0632,3.082,2.887,21.89,1980
N,1.997,0.1764,2.352,1.937,5.92,1320
N,3.668,0.0668,3.039,2.836,14.49,1930
N,2.079,0.0867,2.637,2.408,18.93,1560
N,2.098,0.1532,2.455,2.079,16.29,1400
N,1.655,0.0672,2.344,2.187,5.75,1310
N,4.613,0.0507,3.009,2.857,14.8,1910
N,1.575,0.1159,2.252,1.991,5.7,1230
N,1.754,0.2008,2.417,1.932,14.95,1370
N,4.749,0.0358,2.934,2.829,12.46,1840
N,3.345,0.0573,3.071,2.895,12.21,1970
N,2.162,0.0718,2.765,2.567,3.42,1680
N,4.407,0.0879,3.134,2.858,15.4,2030
N,1.529,0.0661,2.26,2.11,4.51,1240
N,1.681,0.1693,2.315,1.923,4.09,1290
N,4.638,0.0612,3.103,2.913,7.53,2000
N,4.515,0.117,2.578,2.276,12.83,1510
N,2.845,0.0457,2.972,2.836,10.49,1870
N,3.289,0.1225,3.124,2.742,4.18,2020
N,1.593,0.1179,2.306,2.034,11.84,1280
N,5.006,0.1832,3.184,2.6,26.8,2070
N,5.399,0.2048,3.188,2.535,19.33,2080
N,1.597,0.2097,2.39,1.888,4.53,1350
N,2.66,0.0065,2.925,2.906,13.06,1830
N,4.447,0.0413,3.184,3.052,13.47,2070
N,3.33,0.1284,2.55,2.223,8.22,1490
N,4.419,0.1003,3.07,2.762,10.21,1970
N,4.344,0.0438,3.182,3.042,14.25,2070
N,4.676,0.1001,3.017,2.715,9.26,1910
N,3.318,0.2407,2.613,1.984,14.14,1540
N,1.996,0.122,2.396,2.104,4.36,1360
N,4.77,0.2962,3.951,2.781,10.83,2870
N,3.077,0.1549,3.207,2.71,25.49,2100
N,3.687,0.1309,3.192,2.774,1.07,2080
N,4.581,0.1713,3.136,2.599,24.45,2030
N,4.703,0.0824,3.147,2.888,14.75,2040
N,3.724,0.2529,3.203,2.393,12.32,2090
N,1.782,0.198,2.303,1.847,23.54,1280
N,2.625,0.1799,3.069,2.517,15.14,1960
N,1.368,0.2571,2.352,1.747,3.39,1320
N,2.813,0.2129,3.129,2.463,25.41,2020
N,1.191,0.1982,2.58,2.069,12.05,1510
N,2.886,0.2904,2.22,1.576,5.23,1210
N,1.406,0.1969,2.335,1.875,23.17,1300
N,3.088,0.3033,3.944,2.748,3.16,2860
N,2.457,0.079,2.799,2.578,3.33,1710
N,5.13,0.132,3.075,2.669,8.06,1970
N,3.446,0.1274,3.034,2.647,12.68,1930
N,2.043,0.223,2.356,1.831,5.12,1320
N,2.997,0.4124,2.583,1.518,28.94,1520
N,1.323,0.2344,2.371,1.815,4.24,1330
N,2.068,0.2447,2.626,1.983,13.89,1550
N,3.069,0.0503,2.88,2.735,7.46,1790
N,3.263,0.1431,3.111,2.666,6.18,2000
N,4.322,0.1032,3.107,2.787,9.54,2000
N,1.69,0.1813,2.618,2.143,14.17,1550
N,2.811,0.1385,2.745,2.365,6.06,1660
N,4.477,0.1606,3.076,2.582,15.9,1970
N,1.588,0.2599,2.331,1.725,6.16,1300
N,3.552,0.3612,3.169,2.024,25.02,2060
N,2.499,0.1465,2.605,2.223,11.37,1540
N,1.953,0.1615,2.659,2.23,9.69,1580
N,4.87,0.1196,3.003,2.644,12.26,1900
N,3.717,0.1948,3.227,2.598,24.83,2120
N,3.268,0.1457,2.746,2.346,10.38,1660
N,2.678,0.1165,2.72,2.403,6.12,1640
N,4.138,0.0824,2.94,2.697,7.24,1840
N,2.382,0.2699,3.193,2.331,13,2080
N,2.586,0.094,2.616,2.37,28.52,1550
N,3.33,0.0758,3.078,2.844,21.71,1970
N,2.99,0.0497,2.862,2.72,10.64,1770
N,2.588,0.234,2.567,1.966,27.79,1500
N,5.136,0.1359,3.153,2.725,25.66,2050
N,1.645,0.2307,2.322,1.786,5.56,1290
N,2.823,0.0436,2.993,2.862,9.13,1890
N,3.425,0.015,3.206,3.158,14.03,2100
N,3.702,0.1349,2.648,2.29,14.76,1570
N,1.976,0.1647,2.634,2.2,13.03,1560
N,3.817,0.2674,3.183,2.332,12.74,2070
N,3.811,0.1037,3.149,2.823,27.77,2040
N,3.419,0.2079,3.012,2.386,11.9,1910
N,5.935,0.1057,3.135,2.804,27.74,2030
N,3.883,0.1367,3.178,2.743,27.09,2070
N,2.315,0.1794,2.182,1.79,27.26,1180
N,2.741,0.0714,2.658,2.468,27.15,1580
N,3.219,0.1751,3.191,2.632,22.96,2080
N,5.098,0.1931,3.152,2.543,27.25,2040
N,3.714,0.0423,3.245,3.107,18.6,2130
N,1.779,0.2024,2.604,2.077,12.66,1530
N,2.372,0.1932,2.535,2.045,33.54,1470
N,4.997,0.172,2.543,2.106,26.05,1480
N,1.681,0.2137,2.465,1.938,10.33,1410
N,3.694,0.0863,2.628,2.401,11.35,1560
N,2.049,0.1318,2.585,2.244,12.84,1520
N,2.734,0.2211,2.362,1.84,21.72,1330
N,2.319,0.1613,2.467,2.069,10.29,1420
N,4.718,0.12,3.193,2.81,15.73,2080
Y,0.289,0.4974,2.108,1.059,7.65,1120
N,2.861,0.0929,2.638,2.393,11.48,1560
N,4.87,0.1929,2.777,2.242,17.67,1690
N,2.842,0.1198,3.105,2.732,9.21,2000
N,1.949,0.1481,2.663,2.269,16.83,1590
N,4.057,0.2076,2.751,2.18,16.43,1670
N,2.307,0.1919,2.595,2.097,27.09,1530
N,5.096,0.0604,3.157,2.966,28.14,2050
N,3.861,0.0871,3.071,2.803,15.33,1970
N,1.601,0.2042,2.628,2.092,3.35,1560
N,1.766,0.425,2.756,1.585,15.48,1670
N,4.671,0.1492,3.153,2.682,10.2,2040
N,3.723,0.09,2.936,2.672,12.44,1840
N,2.825,0.1242,2.605,2.282,10.64,1540
N,1.815,0.2013,2.589,2.068,11.86,1520
N,4.298,0.1001,3.423,3.08,14.03,2310
N,3.071,0.2437,2.762,2.089,8.65,1680
N,1.579,0.1863,2.667,2.17,11.08,1590
N,1.318,0.2346,2.665,2.04,17.4,1590
N,2.64,0.0517,2.967,2.814,18.36,1870
N,2.171,0.0859,2.735,2.5,9.53,1650
N,1.676,0.2252,2.73,2.115,7.87,1650
N,4.208,0.1535,3.164,2.678,18.5,2060
N,2.105,0.1594,2.664,2.239,9.41,1590
N,2.773,0.2567,2.778,2.065,16.59,1690
N,2.487,0.1935,2.864,2.31,17.96,1770
N,3.567,0.0241,2.632,2.569,26.37,1560
N,2.347,0.1788,2.612,2.145,14.87,1540
N,4.934,0.1665,3.097,2.582,28.44,1990
N,1.633,0.2577,2.759,2.048,19.84,1670
N,2.182,0.2081,2.749,2.177,29.25,1660
N,5.043,0.0634,3.089,2.893,23.5,1980
N,2.148,0.093,2.899,2.63,17.11,1800
N,5.419,0.0739,3.204,2.968,22.6,2100
N,3.158,0.0604,2.813,2.643,14.28,1720
N,2.204,0.1911,2.701,2.185,3.31,1620
N,5.091,0.0527,3.093,2.931,15.55,1990
N,1.87,0.2465,2.742,2.066,13.47,1660
N,2.182,0.2962,2.717,1.912,16.56,1640
N,1.688,0.2419,2.68,2.032,16.72,1600
N,2.887,0.16,2.788,2.342,8.65,1700
N,2.226,0.2505,2.731,2.047,15.11,1650
Y,11,0.9679,17.93,0.575,162.2,27700
Y,4.8,0.8483,2.215,0.336,11.78,1200
Y,5.2,0.6376,3.419,1.239,22.33,2310
Y,4.5,0.8198,5.7,1.027,54.98,4970
Y,2,0.7105,3.5,1.013,32,2390
Y,2.6,0.7048,4.086,1.206,11.73,3020
Y,2.6,0.6351,3.036,1.108,22.44,1930
Y,1.4,0.6613,3.085,1.045,9.23,1980
Y,1.6,0.824,3.026,0.533,4.25,1920
Y,1.2,0.6588,3.093,1.055,11.75,1990
Y,3.6,0.9056,10.34,0.976,162.49,12100
Y,3.4,0.6409,3.462,1.243,7.04,2350
Y,2.8,0.5941,3.031,1.231,2.89,1930
Y,6.4,0.9592,3.035,0.124,58.14,1930
Y,1.6,0.6938,3.475,1.064,13.61,2370
Y,2,0.6655,3.208,1.073,5.7,2100
Y,26,0.9632,26.09,0.96,113.45,48700
Y,11.6,0.9289,13.81,0.983,19.19,18800
Y,13.6,0.9253,13.3,0.994,80.25,17700
