neo,diameter,eccentricity,semiMajorAxis,perihelionDistance,inclination,period
N,3.279,0.1047,2.96,2.65,15.51,1860
N,4.286,0.202,2.942,2.347,17.26,1840
N,2.713,0.1389,3.01,2.592,6.86,1910
N,2.003,0.2266,3.147,2.434,15.85,2040
N,3.582,0.0401,2.79,2.678,3.89,1700
N,3.611,0.0638,3.173,2.97,8.97,2060
N,3.855,0.0053,2.92,2.905,10.41,1820
N,4.609,0.1253,3.211,2.809,20.57,2100
N,1.896,0.2362,2.889,2.206,15.32,1790
N,2.385,0.161,3.131,2.627,25.83,2020
N,3.531,0.0552,3.017,2.851,2.01,1910
N,4.781,0.0453,3.121,2.98,6.5,2010
N,3.846,0.0206,3.17,3.105,8.56,2060
N,1.71,0.2012,2.777,2.218,8.57,1690
N,3.58,0.064,3.189,2.985,15.04,2080
N,2.549,0.3323,3.184,2.126,23.51,2070
N,3.075,0.1218,3.191,2.802,13.29,2080
N,2.066,0.3043,2.911,2.025,15.6,1810
N,3.484,0.0551,3.044,2.876,15.55,1940
N,2.635,0.1365,3.111,2.687,9.5,2000
N,4.134,0.0768,3.16,2.918,16.86,2050
N,2.664,0.2259,3.148,2.437,27.24,2040
N,2.704,0.1871,3.127,2.542,27.3,2020
N,3.741,0.141,3.089,2.653,28.18,1980
Y,0.374,0.1094,1.127,1.004,13.59,437
N,3.804,0.1268,3.052,2.665,18.27,1950
N,2.703,0.1421,2.7,2.316,3.89,1620
N,2.829,0.0881,3.082,2.811,16.69,1980
N,3.316,0.1387,3.153,2.716,16.06,2040
N,3.046,0.1391,2.752,2.369,8.36,1670
N,3.081,0.1173,2.991,2.64,16.78,1890
Y,0.358,0.7048,2.655,0.784,11.37,1580
N,2.766,0.2749,3.169,2.298,26.64,2060
N,2.274,0.1473,3.155,2.691,2.62,2050
N,3.758,0.136,3.093,2.672,12.45,1990
N,1.822,0.213,2.601,2.047,12.84,1530
N,4.075,0.0278,3.069,2.984,10.98,1960
N,2.648,0.1743,3.148,2.599,9.88,2040
N,3.552,0.2097,2.91,2.299,12.97,1810
N,2.083,0.1417,2.852,2.447,6.14,1760
N,5.121,0.2183,3.193,2.496,25.09,2080
N,1.742,0.209,2.366,1.872,11.92,1330
N,2.507,0.0993,2.666,2.401,6.8,1590
N,3.89,0.0159,3.472,3.416,9.19,2360
N,2.358,0.1143,3.013,2.669,11.28,1910
N,2.79,0.1791,3.127,2.567,9.15,2020
N,2.113,0.2956,3.098,2.183,23.53,1990
N,3.039,0.1352,3.129,2.706,26.85,2020
N,1.809,0.2043,2.763,2.198,8.27,1680
N,3.132,0.0519,2.741,2.598,16.8,1660
N,4.024,0.0753,3.133,2.898,15.56,2030
N,3.361,0.2394,3.142,2.39,9.98,2030
N,2.182,0.2054,3.16,2.511,14.7,2050
N,2.579,0.1163,2.701,2.387,10.48,1620
N,2.656,0.0972,2.992,2.701,12.98,1890
N,2.492,0.23,2.974,2.29,16.65,1870
N,1.598,0.2096,2.735,2.161,7.54,1650
N,2.227,0.1403,2.728,2.345,8.56,1650
N,3.069,0.5005,3.157,1.577,22.29,2050
N,1.704,0.2652,3.069,2.255,14.6,1960
N,2.535,0.0581,3.15,2.967,9.53,2040
N,3.797,0.1601,3.09,2.595,17.62,1980
N,3.708,0.038,2.656,2.556,16.5,1580
N,4.451,0.1068,3.136,2.801,16.56,2030
N,3.224,0.0428,3.017,2.888,16.9,1910
N,4.112,0.1732,3.176,2.626,10.19,2070
N,3.329,0.0331,3.224,3.117,8,2110
N,3.342,0.0479,3.239,3.084,9.23,2130
N,3.706,0.2341,3.153,2.415,13.91,2050
N,1.445,0.3236,2.739,1.853,5.73,1660
N,2.57,0.2042,2.864,2.279,16.19,1770
N,2.359,0.2292,3.192,2.461,26.97,2080
N,2.53,0.2538,3.019,2.253,11.6,1920
N,2.158,0.2356,3,2.293,16.69,1900
N,2.322,0.092,2.625,2.383,11.41,1550
N,3.633,0.1793,3.126,2.566,23.73,2020
N,2.791,0.0764,2.878,2.658,5.56,1780
N,2.329,0.1834,3.001,2.451,13.67,1900
N,2.308,0.2291,2.776,2.14,7.06,1690
N,3.085,0.2142,3.189,2.506,25.29,2080
N,2.251,0.1041,3.002,2.689,20.83,1900
N,3.472,0.1448,3.139,2.685,11.96,2030
N,3.088,0.1378,3.201,2.76,26.5,2090
N,2.243,0.2021,2.667,2.128,10.22,1590
N,3.443,0.1096,3.092,2.753,17.55,1990
N,2.431,0.1611,3.043,2.553,25.44,1940
N,4.058,0.1838,3.225,2.633,26.73,2120
N,2.104,0.1796,3.153,2.587,8.63,2040
N,1.895,0.2166,2.768,2.169,8.97,1680
N,4.035,0.094,3.147,2.851,15.59,2040
N,2.768,0.1467,2.671,2.28,2.43,1590
N,2.446,0.2374,3.179,2.424,11.66,2070
N,2.827,0.2029,2.786,2.221,9.35,1700
N,3.655,0.0479,3.147,2.996,10.3,2040
N,2.051,0.2018,2.737,2.185,6.59,1650
N,3.993,0.0187,3.042,2.985,13.45,1940
N,2.556,0.0978,3.085,2.783,4.39,1980
N,1.839,0.1974,2.992,2.401,13.36,1890
N,3.279,0.2005,3.155,2.523,9.42,2050
N,3.048,0.2652,3.214,2.362,26,2100
N,3.168,0.0913,3.044,2.766,10.1,1940
N,2.607,0.1295,3.204,2.789,17.59,2090
N,2.588,0.0714,2.984,2.77,6.08,1880
N,1.791,0.1978,2.85,2.286,13.89,1760
N,5.201,0.0955,3.163,2.861,14.64,2050
N,2.951,0.189,3.069,2.489,25.74,1960
N,2.957,0.2003,2.984,2.387,14.61,1880
N,4.154,0.0671,3.217,3.001,12.28,2110
N,3.277,0.0799,3.208,2.952,12.71,2100
N,2.192,0.1084,3.026,2.698,7.67,1920
N,3.315,0.1823,3.011,2.462,9.37,1910
N,2.182,0.2019,3.065,2.446,9.24,1960
N,3.443,0.1111,2.552,2.268,11.24,1490
N,2.055,0.1832,2.779,2.27,8.14,1690
N,2.095,0.1545,3.135,2.651,10.53,2030
Y,0.146,0.6392,2.622,0.946,10.04,1550
N,2.439,0.1482,3.212,2.736,27.17,2100
N,3.632,0.0681,3.055,2.847,15.6,1950
N,3.495,0.134,3.058,2.648,7.38,1950
N,2.367,0.2786,3.194,2.304,27.51,2090
N,4.914,0.0508,3.127,2.968,8.87,2020
N,3.027,0.0592,3.23,3.038,12.45,2120
N,1.761,0.2237,3.203,2.486,22.3,2090
N,1.798,0.2333,3.194,2.449,13.87,2080
N,2.154,0.1447,3.085,2.638,15.73,1980
N,4.152,0.0288,3.187,3.095,14.97,2080
N,1.783,0.2268,3.076,2.378,4.79,1970
N,1.361,0.5561,2.991,1.328,6.72,1890
N,2.264,0.1443,3.076,2.632,11.16,1970
N,0.711,0.5585,3.014,1.331,17.95,1910
Y,0.349,0.6622,2.908,0.982,13.45,1810
N,1.931,0.2174,2.615,2.046,10.3,1540
N,3.246,0.1206,3.087,2.715,16.86,1980
N,2.53,0.1929,3.1,2.502,8.71,1990
N,2.458,0.2219,3.117,2.425,10.5,2010
N,2.768,0.3228,3.136,2.123,29.14,2030
N,2.946,0.2426,3.201,2.424,24.68,2090
N,3.955,0.0726,3.06,2.837,16.15,1950
N,4.091,0.0659,3.107,2.903,19.26,2000
N,2.276,0.2599,2.679,1.983,8.63,1600
N,4.246,0.1727,3.08,2.548,21.07,1970
N,1.733,0.217,2.711,2.122,9.52,1630
N,1.212,0.2674,2.758,2.021,14.95,1670
N,2.267,0.1519,2.805,2.379,7.61,1720
N,3.942,0.1656,3.182,2.655,6.2,2070
N,1.593,0.3309,3.034,2.03,9.17,1930
N,2.795,0.1045,3.057,2.737,20.69,1950
N,3.181,0.2166,3.225,2.527,25.49,2120
Y,0.184,0.6099,2.003,0.781,5.74,1040
Y,0.384,0.6632,2.439,0.821,8.84,1390
Y,0.437,0.2883,1.338,0.952,13.04,565
N,1.917,0.2284,2.858,2.205,9.13,1760
N,3.255,0.3252,3.136,2.116,27.38,2030
N,2.031,0.2229,2.9,2.254,6.4,1800
N,2.917,0.0603,3.148,2.958,16.17,2040
N,3.543,0.2207,3.182,2.479,13.86,2070
N,3.406,0.0249,2.91,2.837,12.62,1810
N,3.239,0.0611,2.846,2.672,10.91,1750
N,2.576,0.205,3.188,2.534,28.42,2080
N,2.385,0.3555,2.915,1.879,18.72,1820
N,1.872,0.1502,2.794,2.374,7.69,1710
N,3.115,0.1269,3.165,2.764,26.36,2060
N,4.239,0.1729,3.182,2.632,18.63,2070
N,2.639,0.2365,3.108,2.373,16.23,2000
N,2.043,0.0852,3.133,2.866,16.51,2030
